[root@ip-10-0-4-142 ec2-user]# netstat -a --numeric-ports
Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address               Foreign Address             State
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:13728 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:16946 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:35326 CLOSE_WAIT
tcp     1032      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:26100 CLOSE_WAIT
tcp     1094      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:26042 CLOSE_WAIT
tcp      142      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:62668 ESTABLISHED
tcp     1006      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:25968 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:59078 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west-:6070 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:58128 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west-:7560 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:49706 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:40806 CLOSE_WAIT
tcp      142      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:63486 ESTABLISHED
tcp     1139      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:25978 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west-:6348 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:50302 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:12660 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:53354 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:52620 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-54.us-west-:24390 CLOSE_WAIT
tcp    10563      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:25980 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-54.us-west-:24252 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:55190 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:57652 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-54.us-west-:24164 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:50762 CLOSE_WAIT
tcp     1048      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west-:1948 CLOSE_WAIT
tcp     1108      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west-:1778 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:22206 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:48910 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:44886 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-220.us-west:24662 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-220.us-west:24410 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-54.us-west-:23882 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-54.us-west-:24348 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-54.us-west-:24278 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:11464 CLOSE_WAIT
tcp     1034      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west-:1742 CLOSE_WAIT
tcp     1122      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:25954 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:61620 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:25612 CLOSE_WAIT
tcp      994      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:26064 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-220.us-west:23948 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:33418 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:48710 CLOSE_WAIT
tcp      142      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:23128 ESTABLISHED
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west-:9450 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:10558 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:56910 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:47020 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:64206 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west-:7976 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:29706 CLOSE_WAIT
